gene_claim_name	gene_name	entrez_id	gene_claim_source
FLNC	FLNC	2318	HumanProteinAtlas
CASR	CASR	846	dGene
ENSG00000275580			Ensembl
G6PD	G6PD	2539	DTC
GRIN3A	GRIN3A	116443	PharmGKB
P20618	PSMB1	5689	TEND
ENSG00000173826	KCNH6	81033	RussLampel
ENSG00000094796	KRT31	3881	Ensembl
ENSG00000232600	TONSL-AS1	100287098	Ensembl
ENSG00000254530			Ensembl
LPL	LPL	4023	PharmGKB
ENSG00000230383			Ensembl
ENSG00000257057	C11ORF97	643037	Ensembl
BRF2	BRF2	55290	Pharos
MT2A	MT2A	4502	NCI
ENSG00000261118			Ensembl
ENSG00000229766			Ensembl
ENSG00000254177			Ensembl
7181	NR2C1	7181	GuideToPharmacology
ENSG00000286259			Ensembl
ENSG00000270641	TSIX	9383	Ensembl
UTS2	UTS2	10911	GO
ENSG00000248152			Ensembl
ENSG00000167553	TUBA1C	84790	Ensembl
ENSG00000231986			Ensembl
ENSG00000236287	ZBED5	58486	Ensembl
ENSG00000164751	PEX2	5828	Ensembl
ENSG00000207076	RNU6-1113P	106480056	Ensembl
ENSG00000242017	ALG1L15P	730086	Ensembl
ENSG00000261802			Ensembl
ENSG00000145715	RASA1	5921	Ensembl
ENSG00000271519			Ensembl
DPM1	DPM1	8813	Pharos
ENSG00000205678	TECRL	253017	Ensembl
ENSG00000224346	BICD1P1	391472	Ensembl
ENSG00000166492	FAM86GP	387745	Ensembl
CCND1	CCND1	595	CarisMolecularIntelligence
ENSG00000198099	ADH4	127	Ensembl
RET M918T mutant			TTD
NR2E1	NR2E1	7101	Pharos
WEE1	WEE1	7465	TALC
ENSG00000177627	C12ORF54	121273	Ensembl
EBF1	EBF1	1879	CarisMolecularIntelligence
ENSG00000270748	IGKV2OR2-1	28861	Ensembl
ENSG00000164530	PI16	221476	HingoraniCasas
ENSG00000221705	SNORA11E	101340250	Ensembl
ENSG00000277604			Ensembl
ENSG00000213416	KRTAP4-12	83755	Ensembl
ENSG00000244218	RN7SL81P	106479253	Ensembl
ENSG00000213005	PTTG3P	26255	Ensembl
ENSG00000021461	CYP3A43	64816	HingoraniCasas
ENSG00000253848			Ensembl
ENSG00000230755	MTATP6P23	107075300	Ensembl
ENSG00000152492	CCDC50	152137	Ensembl
ENSG00000167258	CDK12	51755	HingoraniCasas
ENSG00000199855	RNU6-490P	106479783	Ensembl
ENSG00000234898	CHEK2P3	100873791	Ensembl
ENSG00000083535	PIBF1	10464	Ensembl
ENSG00000270110			Ensembl
ENSG00000227556			Ensembl
MAP4K5	MAP4K5	11183	Pharos
NTRK3	NTRK3	4916	CarisMolecularIntelligence
POLD1	POLD1	5424	GO
ENSG00000068489	PRR11	55771	Ensembl
ENSG00000120868	APAF1	317	Ensembl
ENSG00000185052	SLC24A3	57419	Ensembl
ENSG00000168152	THAP9	79725	Ensembl
ENSG00000129673	AANAT	15	Ensembl
A0A2R8Y747			GO
ENSG00000200998			Ensembl
XRCC5	XRCC5	7520	Pharos
ENSG00000204291	COL15A1	1306	Ensembl
ENSG00000227284	MARK2P10	402679	Ensembl
ENSG00000287742			Ensembl
ENSG00000117862	TXNDC12	51060	Ensembl
ENSG00000188314	OR7D1P	26656	RussLampel
ENSG00000232525	SS18L2P1	646213	Ensembl
ENSG00000226349			Ensembl
ENSG00000271657			Ensembl
ENSG00000133962	CATSPERB	79820	Ensembl
CLIC1	CLIC1	1192	Pharos
O15123	ANGPT2	285	HopkinsGroom
DCPS	DCPS	28960	Pharos
ENSG00000117281	CD160	11126	Ensembl
ENSG00000250746			Ensembl
ADAMTS7	ADAMTS7	11173	Pharos
ENSG00000115677	HDLBP	3069	Ensembl
ENSG00000285973			Ensembl
ENSG00000232675			Ensembl
ENSG00000279924			Ensembl
ENSG00000212569			Ensembl
ENSG00000162924	REL	5966	Ensembl
ENSG00000173662	TAS1R1	80835	HingoraniCasas
ADAMTS6	ADAMTS6	11174	Pharos
RELA	RELA	5970	GO
ENSG00000121879	PIK3CA	5290	HingoraniCasas
ENSG00000151388	ADAMTS12	81792	HingoraniCasas
3754	KCNF1	3754	GuideToPharmacology
M0QYM2			GO
ENSG00000252562	RNU6-922P	106479974	Ensembl
ENSG00000086015	MAST2	23139	RussLampel
ENSG00000254408	OR4A1P	8596	Ensembl
ENSG00000127184	COX7C	1350	Ensembl
ENSG00000173482	PTPRM	5797	Ensembl
PDGFB	PDGFB	5155	CarisMolecularIntelligence
ENSG00000077498	TYR	7299	HingoraniCasas
GALNT12	GALNT12	79695	HumanProteinAtlas
ENSG00000247903			Ensembl
LILRB2	LILRB2	10288	GO
ENSG00000142185	TRPM2	7226	HingoraniCasas
ENSG00000258171	LINC02412	102724933	Ensembl
ENSG00000268581	SIGLEC18P	114184	Ensembl
ENSG00000027001	MIPEP	4285	Ensembl
ENSG00000206715	RNU6-444P	106479762	Ensembl
ENSG00000100979	PLTP	5360	Ensembl
ENSG00000249994			Ensembl
ENSG00000207974	MIR557	693142	Ensembl
ENSG00000164393	ADGRF2	222611	Ensembl
SATB1	SATB1	6304	Pharos
TBC1D32	TBC1D32	221322	PharmGKB
ENSG00000131238	PPT1	5538	HingoraniCasas
ENSG00000171791	BCL2	596	HingoraniCasas
ENSG00000277890			Ensembl
O95342	ABCB11	8647	HopkinsGroom
ENSG00000161638	ITGA5	3678	RussLampel
ENSG00000279122			Ensembl
ENSG00000134644	PUM1	9698	Ensembl
IL31RA	IL31RA	133396	GO
ENSG00000234191			Ensembl
ENSG00000229474	PATL2	197135	Ensembl
ENSG00000237494			Ensembl
6575	SLC20A2	6575	GuideToPharmacology
ENSG00000281113			Ensembl
P42338	PIK3CB	5291	TdgClinicalTrial
ENSG00000217330	SSXP10	100287603	Ensembl
ENSG00000066654	THUMPD1	55623	Ensembl
ENSG00000188782	CATSPER4	378807	RussLampel
Tyrosine 3-monooxygenase	TH	7054	TTD
ENSG00000287949			Ensembl
ENSG00000237691	IFNWP2	646581	Ensembl
ENSG00000285922			Ensembl
ENSG00000271784			Ensembl
ENSG00000261418			Ensembl
P2RY10	P2RY10	27334	dGene
ENSG00000251493	FOXD1	2297	Ensembl
ENSG00000155846	PPARGC1B	133522	Ensembl
PANX2	PANX2	56666	Pharos
ENSG00000213215	OR2F1	26211	Ensembl
ENSG00000219186	FTH1P19	389844	Ensembl
ENSG00000138823	MTTP	4547	Ensembl
O15529	GPR42	2866	HopkinsGroom
ENSG00000164821	DEFA4	1669	HingoraniCasas
285242	HTR3E	285242	GuideToPharmacology
ENSG00000219940	SPTLC1P3	100874499	Ensembl
ENSG00000105701	FKBP8	23770	RussLampel
ENSG00000197389			RussLampel
ABCA5	ABCA5	23461	Pharos
ENSG00000077782	FGFR1	2260	RussLampel
ENSG00000105662	CRTC1	23373	Ensembl
ENSG00000206865			Ensembl
Q9Y210	TRPC6	7225	HopkinsGroom
ENSG00000101435	CST9L	128821	Ensembl
ENSG00000150995	ITPR1	3708	Ensembl
ENSG00000249853	HS3ST5	222537	Ensembl
ENSG00000269959	SPACA6-AS1	102238594	Ensembl
ENSG00000252031	RNU6-561P	106479815	Ensembl
ENSG00000105327	BBC3	27113	Ensembl
CSF1R	CSF1R	1436	MyCancerGenome
ENSG00000250424			Ensembl
ENSG00000068796	KIF2A	3796	Ensembl
ENSG00000219776	RPL21P67	100271180	Ensembl
TNFRSF5	CD40	958	ChemblInteractions
ENSG00000287662			Ensembl
ENSG00000284337			Ensembl
ENSG00000262503			Ensembl
ENSG00000251482	AKIRIN2P1	100216487	Ensembl
ENSG00000226700	MTND4P25	100873246	Ensembl
TNK2	TNK2	10188	DTC
NFE2L2	NFE2L2	4780	DTC
ENSG00000182365	OR5F2P	81194	Ensembl
ENSG00000258712	CXADRP2	646243	Ensembl
ENSG00000279127			Ensembl
ENSG00000277227			Ensembl
ENSG00000286631			Ensembl
ENSG00000216005	MIR888	100126306	Ensembl
ENSG00000149357	LAMTOR1	55004	Ensembl
GRIA3	GRIA3	2892	PharmGKB
ENSG00000251045	SLC25A48-AS1	340074	Ensembl
ENSG00000228953			Ensembl
ENSG00000123342	MMP19	4327	HingoraniCasas
ENSG00000229870	RPL21P89	100271422	Ensembl
Rho-associated protein kinase 2	ROCK2	9475	TTD
ENSG00000271368			Ensembl
Q56UN5	MAP3K19	80122	HopkinsGroom
ENSG00000225864			Ensembl
PTCH1	PTCH1	5727	CIViC
ENSG00000109458	GAB1	2549	Ensembl
ENSG00000114956	DGUOK	1716	Ensembl
ENSG00000263716	SLC25A51P2	645423	Ensembl
ENSG00000283225	MIR3199-2	100422998	Ensembl
ENSG00000230113			Ensembl
P20309	CHRM3	1131	TEND
ENSG00000233892	PAIP1P1	100421582	Ensembl
SPSB2	SPSB2	84727	DTC
RUNX1	RUNX1	861	Pharos
ENSG00000137709	POU2F3	25833	Ensembl
ARTN	ARTN	9048	GO
ENSG00000181958	OR4A15	81328	RussLampel
ENSG00000144407	PTH2R	5746	HingoraniCasas
ENSG00000278478			Ensembl
ENSG00000224914	LINC00863	439994	Ensembl
56923	NMUR2	56923	GuideToPharmacology
SOX1	SOX1	6656	Pharos
P24752	ACAT1	38	TEND
ENSG00000197410	DCHS2	54798	Ensembl
ENSG00000137876	RSL24D1	51187	Ensembl
ENSG00000213420	GPC2	221914	HingoraniCasas
TSC2	TSC2	7249	OncoKB
TNFRSF14	TNFRSF14	8764	FoundationOneGenes
ENSG00000145781	COMMD10	51397	Ensembl
ENSG00000239981	OR2A15P	135942	Ensembl
CLP1	CLP1	10978	HumanProteinAtlas
RPIA	RPIA	22934	Pharos
ENSG00000251461			Ensembl
ENSG00000227278			Ensembl
ENSG00000151577	DRD3	1814	Ensembl
ENSG00000212560	RNU6-630P	106481380	Ensembl
Polo-like kinase 2	PLK2	10769	TTD
ENSG00000286746			Ensembl
ENSG00000149930	TAOK2	9344	RussLampel
ENSG00000263932	MIR4448	100616127	Ensembl
ENSG00000236366			Ensembl
ENSG00000160182	TFF1	7031	Ensembl
ENSG00000267744			Ensembl
ENSG00000231505			Ensembl
ENSG00000164129	NPY5R	4889	HingoraniCasas
ENSG00000227267			Ensembl
ENSG00000212410	RNU6-932P	106481474	Ensembl
ENSG00000108679	LGALS3BP	3959	Ensembl
ENSG00000280360			Ensembl
ENSG00000183655	KLHL25	64410	HingoraniCasas
ENSG00000278822			Ensembl
ENSG00000266840			Ensembl
ENSG00000151176	PLBD2	196463	HingoraniCasas
ENSG00000266984	POLR3GP2	100422391	Ensembl
ENSG00000285659			Ensembl
ENSG00000224173			Ensembl
OR51A7	OR51A7	119687	GO
P49721	PSMB2	5690	TEND
ENSG00000253754			Ensembl
ENSG00000181481	RNF135	84282	Ensembl
ENSG00000164076	CAMKV	79012	RussLampel
ENSG00000240404			Ensembl
ENSG00000183114	FAM43B	163933	Ensembl
GABRP	GABRP	2568	IDG
ENSG00000254503			Ensembl
TSC1	TSC1	7248	FoundationOneGenes
HIST1H2BO	H2BC17	8348	FoundationOneGenes
ENSG00000113249	HAVCR1	26762	Ensembl
ENSG00000241886			Ensembl
ENSG00000137675	MMP27	64066	Ensembl
ENSG00000168710	AHCYL1	10768	RussLampel
ENSG00000108091	CCDC6	8030	Ensembl
ENSG00000231207			Ensembl
ENSG00000253223			Ensembl
PBK	PBK	55872	dGene
ENSG00000183242	WT1-AS	51352	Ensembl
MEF2C	MEF2C	4208	FoundationOneGenes
OR9Q2	OR9Q2	219957	dGene
ENSG00000118523	CCN2	1490	Ensembl
ENSG00000266075	RN7SL574P	106481079	Ensembl
ENSG00000240089	BMS1P3	414217	Ensembl
ENSG00000286446			Ensembl
ENSG00000200120			Ensembl
ENSG00000181282	OR5AK3P	81228	Ensembl
Calcitonin gene-related peptide receptor	CALCRL	10203	TTD
ENSG00000186912	P2RY4	5030	HingoraniCasas
ENSG00000175315	CST6	1474	Ensembl
ENSG00000262980	OR52L2P	79274	Ensembl
ENSG00000163053	SLC16A14	151473	RussLampel
ENSG00000207362	RNU6-422P	106480580	Ensembl
64324	NSD1	64324	GuideToPharmacology
LAMP1	LAMP1	3916	NCI
ENSG00000266524	GDF10	2662	Ensembl
PHTF1	PHTF1	10745	Pharos
ENSG00000261465			Ensembl
FASTK	FASTK	10922	dGene
ENSG00000201457	SNORA55	677834	Ensembl
ENSG00000243704	RN7SL105P	106480487	Ensembl
ENSG00000265056	MIR548S	100422862	Ensembl
ENSG00000233225			Ensembl
Q9BT40	INPP5K	51763	HopkinsGroom
ENSG00000197153	H3C12	8356	Ensembl
ENSG00000262884			Ensembl
ENSG00000242887	IGHJ3	28479	Ensembl
ENSG00000264574	MIR1254-2	100616217	Ensembl
ENSG00000258571	PTTG4P	326315	Ensembl
ENSG00000171017	LRRC8E	80131	Ensembl
ENSG00000164638	SLC29A4	222962	Ensembl
ENSG00000127452	FBXL12	54850	Ensembl
SUV39H2	SUV39H2	79723	BaderLabGenes
Bifunctional aminoacyl-tRNA synthetase	EPRS1	2058	TTD
ENSG00000006062	MAP3K14	9020	RussLampel
ENSG00000254011			Ensembl
ENSG00000164694	FNDC1	84624	Ensembl
ENSG00000148690	FRA10AC1	118924	Ensembl
ENSG00000274642			Ensembl
ENSG00000151962	RBM46	166863	Ensembl
ENSG00000237951	PPIL1P1	150947	Ensembl
ENSG00000287207			Ensembl
ENSG00000223697			Ensembl
ENSG00000167720	SRR	63826	Ensembl
TTN	TTN	7273	HumanProteinAtlas
COQ8A	COQ8A	56997	GO
ENSG00000263990			Ensembl
ENSG00000151012	SLC7A11	23657	RussLampel
ENSG00000023516	AKAP11	11215	Ensembl
ENSG00000261976			Ensembl
P22607	FGFR3	2261	HopkinsGroom
ENSG00000149115	TNKS1BP1	85456	Ensembl
TRPM5	TRPM5	29850	Pharos
TRAV27	TRAV27	28655	Pharos
KCNJ13	KCNJ13	3769	BaderLabGenes
ENSG00000284675			Ensembl
ENSG00000287182			Ensembl
ENSG00000103249	CLCN7	1186	Ensembl
PRKAB1	PRKAB1	5564	PharmGKB
ENSG00000273017			Ensembl
3787	KCNS1	3787	GuideToPharmacology
53637	S1PR5	53637	GuideToPharmacology
ENSG00000204228	HSD17B8	7923	Ensembl
ENSG00000276229			Ensembl
GALP	GALP	85569	NCI
5616	PRKY	5616	GuideToPharmacology
CD34	CD34	947	NCI
ENSG00000124831	LRRFIP1	9208	Ensembl
HMGB1	HMGB1	3146	Pharos
ENSG00000257541	LINC02403	105369785	Ensembl
ENSG00000223428			Ensembl
ADORA2	ADORA2A	135	ChemblInteractions
ENSG00000228481			Ensembl
P19838	NFKB1	4790	HopkinsGroom
ENSG00000230104			Ensembl
ENSG00000144231	POLR2D	5433	Ensembl
80142	PTGES2	80142	GuideToPharmacology
ENSG00000183770	FOXL2	668	Ensembl
P51686	CCR9	10803	HopkinsGroom
ENSG00000123358	NR4A1	3164	Ensembl
ENSG00000258757			Ensembl
GNPTAB	GNPTAB	79158	Pharos
Diacylglycerol lipase alpha	DAGLA	747	TTD
ENSG00000164307	ERAP1	51752	HingoraniCasas
5591	PRKDC	5591	GuideToPharmacology
OAS2	OAS2	4939	Pharos
VEGFB	VEGFB	7423	ClearityFoundationClinicalTrial
ENSG00000107618	RBP3	5949	HingoraniCasas
ENSG00000206767	RNU6-949P	106481925	Ensembl
P08253	MMP2	4313	TEND
ENSG00000228496			Ensembl
ENSG00000286485			Ensembl
ENSG00000224919			Ensembl
UBE2Q2L	UBE2Q2L	100505679	Pharos
ENSG00000284321	MIR124-1	406907	Ensembl
ENSG00000238542	RNU7-104P	106480448	Ensembl
ENSG00000223313	RNU6-516P	106479794	Ensembl
ENSG00000241679			Ensembl
ENSG00000167315	ACAA2	10449	Ensembl
ENSG00000228401			Ensembl
ENSG00000271626			Ensembl
ENSG00000172465	TCEAL1	9338	Ensembl
Interleukin 1 receptor type 1	IL1R1	3554	TTD
ENSG00000280607			Ensembl
PLD1	PLD1	5337	NCI
ENSG00000260578			Ensembl
ENSG00000283257			Ensembl
ENSG00000275852	LINC01742	105376992	Ensembl
ENSG00000235519	LINC01815	100507201	Ensembl
CCNE1	CCNE1	898	Oncomine
ENSG00000279617			Ensembl
ENSG00000275898			Ensembl
ENSG00000235140			Ensembl
TUSC3	TUSC3	7991	Pharos
ENSG00000226594			Ensembl
MAP2K6	MAP2K6	5608	GO
8844	KSR1	8844	GuideToPharmacology
PTGDR	PTGDR	5729	PharmGKB
ENSG00000244119	PDCL3P4	285359	Ensembl
ENSG00000235323	COTL1P2	347720	Ensembl
ENSG00000109321	AREG	374	HingoraniCasas
UGT1A7	UGT1A7	54577	NCI
ENSG00000256713	PGA5	5222	Ensembl
TOP1	TOP1	7150	Tempus
ENSG00000164039	BDH2	56898	RussLampel
8613	PLPP3	8613	GuideToPharmacology
CCR5 messenger RNA			TTD
ENSG00000238001	SNRPCP1	100288596	Ensembl
Tumor necrosis factor	TNF	7124	TTD
ENSG00000215398			Ensembl
UGT1A4	UGT1A4	54657	PharmGKB
ENSG00000177963	RIC8A	60626	Ensembl
ENSG00000105810	CDK6	1021	RussLampel
ENSG00000231056	LINC02522	101928106	Ensembl
ENSG00000202199	RNU1-115P	106480188	Ensembl
ENSG00000270679			Ensembl
OR56A1	OR56A1	120796	GO
ENSG00000235381			Ensembl
P20648	ATP4A	495	TEND
ENSG00000164334	FAM170A	340069	Ensembl
ENSG00000138813	C4ORF17	84103	Ensembl
ENSG00000179967	PPP1R14BP3	100507617	Ensembl
MEK kinase kinase 4	MAP4K4	9448	TTD
Q8NGY9	OR2L8	391190	HopkinsGroom
ENSG00000240032	LNCSRLR	109729161	Ensembl
ENSG00000225321	LINC01427	101929663	Ensembl
ENSG00000142168	SOD1	6647	RussLampel
ENSG00000172164	SNTB1	6641	Ensembl
Protein bactericidal permeability-increasing	BPI	671	TTD
ENSG00000116586	LAMTOR2	28956	Ensembl
ASL	ASL	435	HumanProteinAtlas
ENSG00000100364	KIAA0930	23313	Ensembl
ENSG00000183833	CFAP91	89876	Ensembl
NHLRC1	NHLRC1	378884	HumanProteinAtlas
BMP15	BMP15	9210	GO
5406	PNLIP	5406	GuideToPharmacology
HIPK4	HIPK4	147746	dGene
ENSG00000228242			Ensembl
ENSG00000222658			Ensembl
PLK1	PLK1	5347	MyCancerGenome
ENSG00000203825			Ensembl
ENSG00000151729	SLC25A4	291	Ensembl
ENSG00000187900	OR5H7P	79291	Ensembl
ENSG00000138777	PPA2	27068	Ensembl
ZSCAN4	ZSCAN4	201516	Pharos
AKAP1	AKAP1	8165	Pharos
ENSG00000251830	SNORD46	94161	Ensembl
ENSG00000213587			Ensembl
23415	KCNH4	23415	GuideToPharmacology
ENSG00000212251	RNA5SP376	106479010	Ensembl
ENSG00000254641			Ensembl
ENSG00000265801			Ensembl
ENSG00000135549	PKIB	5570	Ensembl
ENSG00000101290	CDS2	8760	Ensembl
ENSG00000187268	FAM9C	171484	Ensembl
P46734	MAP2K3	5606	TdgClinicalTrial
ENSG00000235524	MTCO1P23	107075281	Ensembl
Q96RI9	TAAR9	134860	HopkinsGroom
ENSG00000285825			Ensembl
ENSG00000246763	RGMB-AS1	503569	Ensembl
ENSG00000286465			Ensembl
ENSG00000285712			Ensembl
ENSG00000185721	DRG1	4733	Ensembl
ENSG00000179454	KLHL28	54813	Ensembl
ENSG00000225949			Ensembl
ENSG00000235932			Ensembl
ENSG00000287178			Ensembl
OR4Q3	OR4Q3	441669	dGene
ENSG00000061938	TNK2	10188	Ensembl
ADRB2R	ADRB2	154	ChemblInteractions
ENSG00000260198			Ensembl
ENSG00000226926	PDZPH1P	105379197	Ensembl
ENSG00000172915	NBEA	26960	Ensembl
ENSG00000167523	SPATA33	124045	Ensembl
Q96P69	GPR78	27201	HopkinsGroom
ENSG00000272277			Ensembl
ENSG00000099822	HCN2	610	RussLampel
RPN2	RPN2	6185	Pharos
ENSG00000169071	ROR2	4920	RussLampel
TAS2R10	TAS2R10	50839	dGene
ENSG00000285542			Ensembl
ZAP70	ZAP70	7535	NCI
MCRS1	MCRS1	10445	GO
NEDD4	NEDD4	4734	Pharos
ENSG00000052723	SIKE1	80143	Ensembl
Matrix metalloproteinase-8	MMP8	4317	TTD
ENSG00000283829	MIR378I	100616259	Ensembl
ENSG00000258975			Ensembl
126969	SLC44A3	126969	GuideToPharmacology
EPOR	EPOR	2057	NCI
ENSG00000248441	LETR1	400456	Ensembl
ENSG00000273027			Ensembl
IER5	IER5	51278	Pharos
ENSG00000271415	RPL23AP90	106480690	Ensembl
ENSG00000202269	SNORD118	727676	Ensembl
ENSG00000139151	PLCZ1	89869	Ensembl
ENSG00000272163			Ensembl
ENSG00000285388			Ensembl
O43603	GALR2	8811	HopkinsGroom
ENSG00000279852			Ensembl
ENSG00000264058	KRT222	125113	Ensembl
ENSG00000288076			Ensembl
ENSG00000266441			Ensembl
LMO1	LMO1	4004	Pharos
Q8N8R3	SLC25A29	123096	TdgClinicalTrial
ENSG00000250625			Ensembl
ENSG00000114388	NPRL2	10641	Ensembl
ENSG00000232423	PRAMEF6	440561	Ensembl
ENSG00000213088	ACKR1	2532	Ensembl
ENSG00000189227	C15ORF61	145853	Ensembl
ENSG00000286212			Ensembl
ENSG00000234381	MED15P7	100996466	Ensembl
ENSG00000261315	LARP4P	554354	Ensembl
ENSG00000134107	BHLHE40	8553	Ensembl
ENSG00000276048			Ensembl
PPFIA2	PPFIA2	8499	Pharos
ENSG00000237447	CDC27P2	100130277	Ensembl
ENSG00000240498	CDKN2B-AS1	100048912	Ensembl
ENSG00000271798	SNORA51	677831	Ensembl
ENSG00000141258	SGSM2	9905	Ensembl
ENSG00000259648			Ensembl
ENSG00000265470	MIR548AQ	100847078	Ensembl
ENSG00000229626	PIGCP2	100128307	Ensembl
ENSG00000127328	RAB3IP	117177	Ensembl
ENSG00000277072	STAG3L2	442582	Ensembl
ENSG00000227711			Ensembl
ENSG00000212168	SNORD78	692198	Ensembl
MNX1	MNX1	3110	FoundationOneGenes
ENSG00000286650			Ensembl
O00555	CACNA1A	773	TdgClinicalTrial
ENSG00000218890			Ensembl
TXNDC11	TXNDC11	51061	PharmGKB
Q16513	PKN2	5586	HopkinsGroom
F9	F9	2158	dGene
ENSG00000123191	ATP7B	540	Ensembl
ENSG00000057757	PITHD1	57095	Ensembl
ENSG00000185697	MYBL1	4603	Ensembl
ENSG00000135702	CHST5	23563	HingoraniCasas
ENSG00000165966	PDZRN4	29951	Ensembl
ENSG00000200534	SNORA33	594839	Ensembl
ENSG00000163098	BIRC8	112401	Ensembl
Q8NH01	OR2T11	127077	HopkinsGroom
ENSG00000261298			Ensembl
ENSG00000161610	HCRT	3060	HingoraniCasas
ENSG00000267852			Ensembl
SRPK1	SRPK1	6732	GO
ENSG00000238711	RNY4P25	100862665	Ensembl
ENSG00000214455	RCN1P2	728913	Ensembl
ENSG00000198491			Ensembl
ENSG00000187048	CYP4A11	1579	HingoraniCasas
ENSG00000163060	TEKT4	150483	Ensembl
FH	FH	2271	MskImpact
ENSG00000138448	ITGAV	3685	HingoraniCasas
ENSG00000059573	ALDH18A1	5832	Ensembl
ENSG00000259815			Ensembl
ENSG00000283320	MIR103B2	100302282	Ensembl
ENSG00000266919	MIR423	494335	Ensembl
ENSG00000279781			Ensembl
ENSG00000258700	LINC00871	100506412	Ensembl
3359	HTR3A	3359	GuideToPharmacology
ENSG00000112146	FBXO9	26268	Ensembl
ENSG00000205971			Ensembl
ENSG00000248605			Ensembl
ENSG00000163354	DCST2	127579	Ensembl
SLC6A3	SLC6A3	6531	DTC
TMEM38B	TMEM38B	55151	IDG
S-mephenytoin 4-hydroxylase	CYP2C9	1559	TTD
P08246	ELANE	1991	TdgClinicalTrial
SCNN1G	SCNN1G	6340	Pharos
ENSG00000240095			Ensembl
TBK1	TBK1	29110	DTC
WAS	WAS	7454	CarisMolecularIntelligence
ENSG00000263818			Ensembl
ENSG00000110841	PPFIBP1	8496	Ensembl
ENSG00000166535	A2ML1	144568	Ensembl
ENSG00000112462	OR12D3	81797	RussLampel
ENSG00000267457			Ensembl
ENSG00000136732	GYPC	2995	Ensembl
ENSG00000119950	MXI1	4601	Ensembl
ENSG00000276923			Ensembl
G6PD	G6PD	2539	HumanProteinAtlas
ENSG00000261263			Ensembl
Q03431	PTH1R	5745	TdgClinicalTrial
PACSIN3	PACSIN3	29763	Pharos
Q8NH03	OR2T3	343173	HopkinsGroom
ENSG00000284738			Ensembl
ENSG00000217120			Ensembl
ELK4	ELK4	2005	CarisMolecularIntelligence
RORC	RORC	6097	BaderLabGenes
ENSG00000271046			Ensembl
ENSG00000113594	LIFR	3977	HingoraniCasas
ENSG00000270193			Ensembl
Lysine-specific demethylase 4C	KDM4C	23081	TTD
UQCR10	UQCR10	29796	DTC
ENSG00000178776	C5ORF46	389336	Ensembl
WEE1	WEE1	7465	DTC
CDKN1B	CDKN1B	1027	Pharos
TNF	TNF	7124	PharmGKB
STMN1 messenger RNA			TTD
ENSG00000230376	MEMO1P4	100462785	Ensembl
ENSG00000211868	TRAJ21	28734	Ensembl
ENSG00000197616	MYH6	4624	Ensembl
ENSG00000197079	KRT35	3886	Ensembl
ENSG00000135903	PAX3	5077	Ensembl
ENSG00000236527	ARF4P2	170485	Ensembl
XRCC4	XRCC4	7518	PharmGKB
ENSG00000234500			Ensembl
AGXT	AGXT	189	HumanProteinAtlas
125206	SLC5A10	125206	GuideToPharmacology
ENSG00000233547			Ensembl
ENSG00000115112	TFCP2L1	29842	Ensembl
ENSG00000163633	C4ORF36	132989	Ensembl
ENSG00000284564	MIR3064	100616387	Ensembl
PAK4	PAK4	10298	DTC
ENSG00000230199			Ensembl
ENSG00000132464	ENAM	10117	Ensembl
ENSG00000237243			Ensembl
ENSG00000200779	RNU6-105P	106481210	Ensembl
MSN	MSN	4478	GO
ENSG00000198909	MAP3K3	4215	RussLampel
ENSG00000153707	PTPRD	5789	Ensembl
CA6	CA6	765	ChemblInteractions
ENSG00000267498			Ensembl
COQ2	COQ2	27235	PharmGKB
ENSG00000101460	MAP1LC3A	84557	Ensembl
ENSG00000118596	SLC16A7	9194	RussLampel
ENSG00000177105	RHOG	391	Ensembl
ENSG00000252768	RNU6-856P	106481451	Ensembl
ENSG00000078804	TP53INP2	58476	Ensembl
ZNF280B	ZNF280B	140883	Pharos
ENSG00000215837	SDHAP2	727956	Ensembl
ENSG00000257891			Ensembl
ENSG00000164815	ORC5	5001	Ensembl
ENSG00000137267	TUBB2A	7280	RussLampel
ENSG00000271187			Ensembl
P35372	OPRM1	4988	TEND
ENSG00000285717			Ensembl
ENSG00000119686	FLVCR2	55640	RussLampel
ENSG00000248893	FAM138E	100124412	Ensembl
ENSG00000180979	LRRC57	255252	Ensembl
PML	PML	5371	FoundationOneGenes
OVOL2	OVOL2	58495	Pharos
ENSG00000207696	MIR659	724029	Ensembl
ENSG00000234770	GULOP	2989	Ensembl
ENSG00000125378	BMP4	652	Ensembl
ENSG00000273269	STPG4	285051	Ensembl
ALPK1	ALPK1	80216	GO
PRKCSH	PRKCSH	5589	Pharos
6263	RYR3	6263	GuideToPharmacology
ENSG00000279307			Ensembl
PNLIP	PNLIP	5406	Pharos
ENSG00000213082	PPP1R14BP2	729406	Ensembl
ENSG00000138161	CUZD1	50624	Ensembl
ENSG00000225124	RPL23AP36	100271296	Ensembl
MAPKAPK5	MAPKAPK5	8550	dGene
ENSG00000184084			Ensembl
ENSG00000154040	CABYR	26256	Ensembl
STAP2	STAP2	55620	Pharos
NRG3	NRG3	10718	Pharos
ENSG00000092529	CAPN3	825	Ensembl
ENSG00000200204	RNU1-22P	100873863	Ensembl
DHCR7	DHCR7	1717	HumanProteinAtlas
ENSG00000249609			Ensembl
CD274	CD274	29126	FDA
OR6J1	OR6J1	79549	Pharos
ENSG00000250583			Ensembl
ENSG00000242973			Ensembl
